Id,SalePrice
1461,110767.30963309316
1462,162279.58545236714
1463,190276.58249937758
1464,198205.02099652353
1465,225018.25357922053
1466,177539.7722886606
1467,184799.28543189555
1468,155940.40591267415
1469,208940.50454064304
1470,108966.12286944108
1471,151229.76606934497
1472,102780.76708956351
1473,95676.57694361638
1474,149164.66141252973
1475,104215.86557350785
1476,378990.46236754244
1477,263193.5439072667
1478,309723.34606708004
1479,310932.2668971786
1480,469050.99861947354
1481,327374.6098748554
1482,213998.47856849842
1483,174998.35372155547
1484,171013.66067095904
1485,180652.0060920987
1486,184211.4221743342
1487,328447.0776242302
1488,216579.04513943577
1489,202441.32750324535
1490,251297.23487443637
1491,199829.37199094656
1492,102246.44034492166
1493,196562.70435948615
1494,340223.4396994732
1495,292853.2161895196
1496,253374.8426939602
1497,178092.5839792673
1498,182377.93583802946
1499,155460.84383722965
1500,152290.60984077904
1501,196226.68398483258
1502,140028.05367638852
1503,356858.808499528
1504,240654.01786538228
1505,226466.65645555986
1506,191806.5565848626
1507,261748.31948903433
1508,202210.12238912986
1509,157751.67659798532
1510,142798.6950712153
1511,151801.33109728838
1512,177197.0263944244
1513,167698.83429222932
1514,162884.64044159654
1515,211539.073295483
1516,164319.25700823305
1517,175591.91352388493
1518,114957.63282077244
1519,212201.70237019655
1520,124274.57429249553
1521,140189.67467417632
1522,187718.83995850358
1523,110771.5945539455
1524,128145.57451425257
1525,121304.14407981184
1526,106588.55103294767
1527,102527.19000953826
1528,136025.21523056668
1529,164193.9141450444
1530,186264.2999976412
1531,132032.6674344768
1532,92516.21086990886
1533,148919.9166910247
1534,139901.85207462093
1535,149146.2895969343
1536,95083.33938244
1537,60595.3846893725
1538,149942.81810212866
1539,199708.38463119857
1540,131037.78480721085
1541,135628.3364238892
1542,172244.54547581263
1543,199486.89503630096
1544,72033.11406251867
1545,118667.95298716571
1546,148838.42175248155
1547,147820.1304658216
1548,156457.8445867394
1549,122585.53861103923
1550,141836.78837213173
1551,101631.9767844986
1552,170146.2655322706
1553,149860.67163954803
1554,113050.78321301282
1555,170622.96927751548
1556,54001.602113908506
1557,119025.14860990565
1558,86411.58032176289
1559,60986.23157271248
1560,127780.10959391386
1561,166271.30196054024
1562,129286.34679628751
1563,127757.58155220264
1564,159691.5956698828
1565,154911.0157272819
1566,227946.65998195545
1567,66560.63146474489
1568,217902.34004393304
1569,149402.7301193468
1570,141701.26562377453
1571,103761.88949091232
1572,154137.90417592454
1573,185866.3587755428
1574,146036.6462422963
1575,238066.14463826004
1576,233720.41589746953
1577,186967.82942374932
1578,162998.51298987863
1579,149514.17970197136
1580,197589.2161990245
1581,155712.15909889556
1582,140936.8303491422
1583,279845.63191971136
1584,223260.39113229452
1585,141880.60826947112
1586,56778.21496382108
1587,111450.65927194609
1588,158160.11992547102
1589,98685.38164091122
1590,130309.49802756213
